cardID,cardNAME,cardMEANING,cardPHOTO
11,Page of Wands,"จักรวาล: เหมือนดาวดวงหนึ่งที่เกิดใหม่ในจักรวาล เปล่งแสงสว่างในท้องฟ้าที่มืดมิด พร้อมที่จะออกไปสำรวจและค้นพบเส้นทางใหม่ ๆ การเปิดรับประสบการณ์ใหม่ ๆ จะพาไปสู่การเติบโตในทางที่ยังไม่เคยเห็นมาก่อน
ข้อความ: ""พร้อมที่จะออกไปสำรวจและเรียนรู้สิ่งใหม่ ๆ คุณเต็มไปด้วยความกระตือรือร้นและความหวังในสิ่งที่คุณกำลังจะทำ""",c11
12,Knight of Wands ,"จักรวาล: เหมือนดาวที่เคลื่อนที่ด้วยความเร็วในจักรวาล มุ่งหน้าไปยังจุดหมายที่ยังไม่สามารถเห็นได้ด้วยตาเปล่า ความมุ่งมั่นในการขับเคลื่อนการเปลี่ยนแปลงในเส้นทางของมัน เป็นการเคลื่อนที่ไปข้างหน้าอย่างมั่นคงและมั่นใจ
ข้อความ: ""การก้าวไปข้างหน้าอย่างรวดเร็วและมั่นใจ ช่วยให้คุณสามารถเอาชนะอุปสรรคและบรรลุเป้าหมายที่คุณตั้งใจ""",c12
13,Queen of Wands,"จักรวาล: เหมือนดาวดวงหนึ่งที่เปล่งประกายจากศูนย์กลางของจักรวาล เธอเป็นสัญลักษณ์ของความเป็นผู้นำและความมั่นคงในการแสดงออกถึงความแข็งแกร่งในตัวเองและในโลกที่เธออาศัยอยู่
ข้อความ: ""คุณเต็มไปด้วยพลังและความมั่นใจในการบรรลุสิ่งที่ตั้งใจไว้ การเป็นผู้",c13
14,King of Wands,"จักรวาล: เหมือนดาวที่ส่องแสงด้วยความเข้มข้นและมั่นคงในจักรวาล มันไม่ได้แค่แสงสว่างเท่านั้น แต่ยังสามารถนำทางให้กับดาวดวงอื่น ๆ ในเส้นทางของมัน การนำทางนี้ไม่เพียงแค่มีอำนาจ แต่ยังมีความสามารถในการเปลี่ยนแปลงและสร้างผลกระทบอย่างยั่งยืน
ข้อความ: ""การเป็นผู้นำที่มีวิสัยทัศน์และสามารถนำทางคนอื่นให้ไปสู่ความสำเร็จ การตัดสินใจที่เด็ดขาดและมีพลัง""",c14
15,Ace of Cups,"จักรวาล: เหมือนการเกิดขึ้นของน้ำในจักรวาล ที่เต็มไปด้วยพลังงานใหม่และศักยภาพในการหล่อเลี้ยงชีวิต
ข้อความ: ""ความรักใหม่ ๆ กำลังรอคุณอยู่ จงเปิดใจและรับรู้ถึงความงามที่ซ่อนอยู่ในตัวคุณ""",c15
16,Two of Cups,"จักรวาล: เหมือนดาวสองดวงที่หมุนรอบกันในทางโคจรที่สมดุล โดยส่องแสงไปในทิศทางเดียวกัน
ข้อความ: ""ความสัมพันธ์ที่แท้จริงคือการเชื่อมโยงทางอารมณ์ที่สมดุล รักษาสิ่งนี้ไว้และมันจะเจริญเติบโต""",c16
17,Three of Cups,"จักรวาล: เหมือนการเต้นรำของดาวในอวกาศ ที่ส่องแสงร่วมกันและสร้างความสวยงามในจักรวาล
ข้อความ: ""การรวมตัวกันและเฉลิมฉลองกับเพื่อนหรือคนรักจะนำมาซึ่งความสุขและความสำเร็จที่ยิ่งใหญ่""",c17
18,Four of Cups,"จักรวาล: เหมือนดาวที่ถูกบดบังโดยเมฆที่ทำให้แสงไม่สามารถส่องออกมาได้
ข้อความ: ""การมองข้ามสิ่งที่ดีอาจทำให้คุณพลาดโอกาส ลองเปิดใจและมองสิ่งรอบตัวให้ชัดเจน""",c18
19,Five of Cups,"จักรวาล: เหมือนดาวที่ดับไปจากความเศร้าหรือความเจ็บปวด แต่ยังมีแสงสว่างที่มองไม่เห็นรอคอยอยู่
ข้อความ: ""ความเสียใจเป็นส่วนหนึ่งของชีวิต แต่ไม่ต้องท้อถอย เพราะยังมีโอกาสอีกมากมายรอคุณอยู่""",c19
20,Six of Cups,"จักรวาล: เหมือนการหมุนรอบของดาวที่ย้อนกลับไปในเส้นทางที่เคยมีมา
ข้อความ: ""บางครั้งการกลับไปหาความทรงจำเก่าจะช่วยให้คุณได้รับการเยียวยาจากความรู้สึกในอดีต""",c20
21,Seven of Cups,"จักรวาล: เหมือนดาวที่หมุนรอบหลายทิศทาง ไม่มีทางเลือกที่ชัดเจนว่าจะเดินไปทางไหน
ข้อความ: ""เลือกเส้นทางของคุณด้วยความตั้งใจ อย่าให้ทางเลือกมากมายทำให้คุณหลงทาง""",c21
22,Eight of Cups,"จักรวาล: เหมือนดาวที่ต้องละทิ้งวงโคจรเดิมเพื่อไปพบดาวใหม่ที่ดีกว่า
ข้อความ: ""การเดินทางหาความสุขที่แท้จริงอาจต้องใช้ความกล้าในการละทิ้งสิ่งที่เก่าไป""",c22
23,Nine of Cups,"จักรวาล: เหมือนดาวที่อยู่ในตำแหน่งที่ดีที่สุด ส่องแสงเต็มที่ในจักรวาล
ข้อความ: ""ความสุขที่คุณต้องการมาถึงแล้ว ทุกสิ่งที่คุณหวังไว้กำลังเป็นจริง""",c23
24,Ten of Cups,"จักรวาล: เหมือนดาวที่สร้างวงโคจรของความรักและความสุขที่ไม่มีที่สิ้นสุด
ข้อความ: ""ความสุขที่แท้จริงคือการมีความรักที่มั่นคงและครอบครัวที่อบอุ่น""",c24
25,Page of Cups,"จักรวาล: เหมือนดาวดวงใหม่ที่ถือกำเนิดขึ้น เปล่งแสงแห่งความหวัง เปิดรับประสบการณ์ใหม่ ๆ และโอบกอดการเปลี่ยนแปลงในชีวิต
ข้อความ: ""การเปิดใจรับสิ่งใหม่ ๆ คือจุดเริ่มต้นของแสงสว่างที่นำพาความรัก ความคิดสร้างสรรค์ และโอกาสแห่งการเติบโตในชีวิต""",c25
26,Knight of Cups,"จักรวาล: เหมือนดาวที่เคลื่อนที่ไปข้างหน้าอย่างมุ่งมั่น แสวงหาความรัก ความฝัน และความหมายของชีวิตท่ามกลางห้วงจักรวาลอันกว้างใหญ่
ข้อความ: ""จงเดินตามหัวใจด้วยความมุ่งมั่น ดั่งดวงดาวที่ไม่หยุดเคลื่อนไหว เพื่อตามหาความรักและความฝันที่แท้จริง"" ",c26
27,Queen of Cups,"จักรวาล: ดาวที่เปล่งแสงอ่อนโยน คอยส่องทางให้กับจักรวาล แสดงถึงความเข้าใจในอารมณ์และการเอาใจใส่ต่อผู้อื่น
ข้อความ: ""ความสมดุลทางอารมณ์คือแสงนำทาง จงเข้าใจตัวเองและดูแลผู้อื่นด้วยความเมตตา ดั่งดาวที่ส่องแสงอบอุ่นในจักรวาล""",c27
28,King of Cups,"จักรวาล: ดาวที่อยู่ ณ ศูนย์กลาง เปล่งแสงสว่างนำทาง สร้างสมดุล และสะท้อนถึงพลังแห่งการควบคุมอารมณ์และความเป็นผู้นำที่มั่นคง
ข้อความ: ""ความเป็นผู้นำที่แท้จริงคือการควบคุมอารมณ์ด้วยปัญญา เปล่งแสงแห่งความเข้าใจ และตัดสินใจด้วยเหตุผลที่มั่นคง"" ",c28
29,Ace of Pentacles,"จักรวาล: เหมือนการเปิดดาวเคราะห์ใหม่ในจักรวาล ที่มีทรัพยากรและความเป็นไปได้ไร้ขีดจำกัด
ข้อความ: ""การเริ่มต้นใหม่ในด้านการเงินและทรัพย์สินจะนำมาซึ่งความมั่งคั่งและการเติบโตที่ยั่งยืน""",c1
30,Two of Pentacles,"จักรวาล: เหมือนดาวสองดวงที่หมุนรอบกันด้วยการควบคุมพลังงานที่มีอยู่เพื่อให้เกิดความสมดุล
ข้อความ: ""การจัดการระหว่างหลายสิ่งในชีวิตเป็นสิ่งสำคัญ อย่าลืมที่จะรักษาความสมดุลในทุกด้าน""",c2
31,Three of Pentacles,"จักรวาล: เหมือนดาวหลายดวงที่รวมกันสร้างระบบดาวที่แข็งแกร่งและมีเสถียรภาพ
ข้อความ: ""ความสำเร็จมาจากการร่วมมือกัน การทำงานร่วมกันจะนำพาคุณไปสู่เป้าหมายที่ยิ่งใหญ่""",c3
32,Four of Pentacles,"จักรวาล: เหมือนดาวที่หมุนในวงโคจรที่แคบเพราะกลัวการสูญเสียพลังงาน
ข้อความ: ""การยึดติดกับสิ่งที่คุณมีอาจทำให้คุณไม่สามารถขยายตัวได้ ลองเปิดใจและแบ่งปันสิ่งดี ๆ ที่คุณมี""",c4
33,Five of Pentacles,"จักรวาล: เหมือนดาวที่ถูกล้อมรอบด้วยความมืด ไม่สามารถเห็นแสงสว่างจากดาวดวงอื่นได้
ข้อความ: ""ความท้าทายในชีวิตเป็นเพียงช่วงหนึ่งของเส้นทาง อย่าลืมว่าเสมอมีความช่วยเหลือและแสงสว่างรอคุณอยู่""",c5
34,Six of Pentacles,"จักรวาล: เหมือนดาวที่ส่องแสงให้กับดาวดวงอื่นในจักรวาล การให้แสงสว่างจะนำมาซึ่งการแลกเปลี่ยนพลังงาน
ข้อความ: ""การให้โดยไม่หวังผลตอบแทนจะนำมาซึ่งการเติบโตและความอุดมสมบูรณ์ในชีวิตของคุณ""",c6
35,Seven of Pentacles,"จักรวาล: เหมือนดาวที่เติบโตและพัฒนาตามเวลา ค่อย ๆ ได้รับแสงและความอบอุ่นจากจักรวาล
ข้อความ: ""ทุกความพยายามต้องการเวลาและความอดทน รอคอยผลลัพธ์อย่างสงบ และมันจะคุ้มค่า""",c7
36,Eight of Pentacles,"จักรวาล: เหมือนดาวที่ต้องการการหมุนรอบเพื่อสร้างพลังงานและแสงสว่างที่สวยงาม
ข้อความ: ""การทำงานหนักและการฝึกฝนจะนำคุณไปสู่ความเชี่ยวชาญ และความสำเร็จที่ยั่งยืน""",c8
37,Nine of Pentacles,"จักรวาล: เหมือนดาวที่ส่องแสงจากศูนย์กลางของมันเอง โดยไม่ต้องพึ่งพาอะไรมากมาย
ข้อความ: ""คุณมีทุกสิ่งที่คุณต้องการ ความสำเร็จที่คุณได้สร้างขึ้นเองทำให้คุณภาคภูมิใจในตัวเอง""",c9
38,Ten of Pentacles,"จักรวาล: เหมือนระบบดาวที่มีโครงสร้างที่แข็งแกร่งและยั่งยืน มอบพลังงานให้แก่สิ่งต่าง ๆ อย่างยาวนาน
ข้อความ: ""ความมั่งคั่งและความสำเร็จที่ยั่งยืนมาจากการลงทุนในสิ่งที่มีค่า และการสร้างมรดกที่สำคัญ""",c10
39,Page of Pentacles,"จักรวาล: เหมือนดาวที่เริ่มต้นในการหมุนรอบจักรวาล การตั้งต้นในการสร้างสิ่งใหม่ ๆ ในชีวิตทางการเงินและทรัพย์สิน โดยที่ยังมีแสงดาวที่เปล่งประกายตามทางเพื่อการเติบโตและการพัฒนา
ข้อความ: ""การเริ่มต้นที่มั่นคงและมีศักยภาพในการสร้างความสำเร็จด้านการเงินและทรัพย์สิน""",c11
40,Knight of Pentacles,"จักรวาล: เหมือนดาวที่เคลื่อนที่ไปอย่างช้า ๆ แต่มั่นคงในเส้นทางที่ได้เลือกไว้ การเดินทางที่เต็มไปด้วยการวางแผนและการทำงานหนักเพื่อบรรลุเป้าหมายในที่สุด
ข้อความ: ""การทำงานอย่างมั่นคงและทุ่มเทเพื่อบรรลุเป้าหมายทางการเงินและความมั่นคง""",c12
41,Queen of Pentacles,"จักรวาล: เหมือนดาวที่สะท้อนแสงลงมายังโลกด้วยความอบอุ่นและการดูแลเอาใจใส่ การเคลื่อนที่ของดาวที่สามารถจัดการทุกสิ่งในจักรวาลด้วยความสมดุลและระเบียบ
ข้อความ: ""การดูแลทั้งตัวเองและผู้อื่นในด้านการเงิน สร้างความมั่งคั่งและความสุขในชีวิต""",c13
42,King of Pentacles,"จักรวาล: เหมือนดาวที่มีแสงสว่างที่ยิ่งใหญ่ในจักรวาล การกระจายแสงที่เต็มไปด้วยพลังในการสร้างความ
ข้อความ: ""ดังดวงดาวที่ส่องแสงเจิดจ้าในจักรวาล พลังแห่งการสร้างสรรค์และแรงบันดาลใจจะกระจายไปอย่างไม่มีที่สิ้นสุด""",c14
43,Ace of Swords,"จักรวาล: เหมือนดาวที่ปรากฏออกมาจากความมืดมิด และส่องแสงสว่างเพื่อเปิดเผยความจริงในจักรวาล
ข้อความ: ""การเปิดรับความคิดใหม่ ๆ และการตัดสินใจที่เฉียบคมจะนำคุณไปสู่ความสำเร็จและความเข้าใจที่ลึกซึ้ง""",c15
44,Two of Swords,"จักรวาล: เหมือนดาวที่ต้องเลือกเส้นทางในท้องฟ้ากว้างใหญ่ มีสองทิศทางให้เลือกในช่วงเวลาที่สำคัญ
ข้อความ: ""การตัดสินใจที่ยากลำบากต้องการการคิดอย่างรอบคอบและการมีสติในการเลือกทางที่เหมาะสมที่สุด""",c16
45,Three of Swords,"จักรวาล: เหมือนดาวที่ถูกทำลายและแตกออกในจักรวาล ความเจ็บปวดทำให้เกิดการเปลี่ยนแปลงและการเรียนรู้
ข้อความ: ""การผ่านความเจ็บปวดและความสูญเสียจะทำให้คุณเติบโตและเข้มแข็งขึ้นในที่สุด""",c45
46,Four of Swords,"จักรวาล: เหมือนดาวที่พักผ่อนในความมืด ก่อนที่จะกลับมาส่องแสงได้อีกครั้ง การฟื้นฟูเป็นสิ่งจำเป็นในการเติบโต
ข้อความ: ""การพักผ่อนและการฟื้นฟูเป็นสิ่งสำคัญในการสร้างพลังสำหรับการเริ่มต้นใหม่""",c46
47,Five of Swords,"จักรวาล: เหมือนดาวที่เกิดการปะทะและแตกกระจาย สะท้อนให้เห็นถึงการสูญเสียและความขัดแย้งในจักรวาล
ข้อความ: ""การขัดแย้งและการสูญเสียอาจจะเจ็บปวด แต่ก็เป็นบทเรียน""",c47
48,Six of Swords,"จักรวาล: เหมือนดาวที่ย้ายทิศทางในอวกาศ การเดินทางใหม่ ๆ นำไปสู่การค้นพบสิ่งใหม่ ๆ ในจักรวาล
ข้อความ: ""การย้ายไปสู่สิ่งใหม่ ๆ และการปล่อยวางจากอดีตจะนำพาคุณไปสู่การเริ่มต้นใหม่ที่ดีขึ้น""",c52
49,Seven of Swords,"จักรวาล: เหมือนดาวที่ล่องลอยไปในจักรวาลโดยไม่ทิ้งร่องรอย การทำสิ่งต่าง ๆ โดยไม่ให้คนอื่นรู้
ข้อความ: ""ความลับและการหลีกเลี่ยงความจริงอาจนำไปสู่การหลงทาง แต่การเผชิญหน้ากับความจริงจะช่วยให้คุณเติบโต""",c49
50,Eight of Swords,"จักรวาล: เหมือนดาวที่ถูกล้อมรอบด้วยวงกลมที่ไม่สามารถหลุดพ้นออกไปได้ สะท้อนถึงความรู้สึกที่ถูกจำกัดและไม่สามารถเคลื่อนที่ไปข้างหน้า
ข้อความ: ""ความรู้สึกที่ถูกจำกัดหรือไม่สามารถเคลื่อนที่ไปข้างหน้าอาจทำให้คุณรู้สึกท้อแท้ แต่คุณมีทางออกที่อยู่ในตัวเอง""",c50
51,Nine of Swords,"จักรวาล: เหมือนดาวที่ส่องแสงอย่างมืดมนในช่วงกลางคืน การวิตกกังวลมักทำให้เราไม่สามารถเห็นความชัดเจนในชีวิต
ข้อความ: ""การปล่อยวางความกลัวและความวิตกกังวลจะช่วยให้คุณเห็นทางออกและสู่ความสงบ""",c51
52,Ten of Swords,"จักรวาล: เหมือนดาวที่ตกลงจากท้องฟ้าและดับลง สะท้อนถึงการสิ้นสุดและการทำลาย 
ข้อความ: ""ถึงแม้บางสิ่งจะดับลง แต่ทุกจุดจบคือจุดเริ่มต้นใหม่เสมอ ดั่งดาวที่ร่วงหล่นเพื่อหลอมรวมเป็นแสงแห่งอนาคต""",c52
53,Page of Swords,"จักรวาล: เหมือนดาวที่เคลื่อนที่ไปอย่างรวดเร็วในจักรวาล การใช้ความคิดที่รวดเร็วและการรับมือกับสถานการณ์ต่าง ๆ อย่างชาญฉลาดในขณะเดียวกัน
ข้อความ: ""การใช้สติปัญญาในการต่อสู้กับสถานการณ์ที่ท้าทายและการค้นหาความจริง""",c53
54,Knight of Swords,"จักรวาล: เหมือนดาวที่เคลื่อนที่ไปในอวกาศอย่างรวดเร็ว การเปลี่ยนแปลงที่เกิดขึ้นอย่างทันท่วงทีและไม่สามารถหยุดยั้งได้
ข้อความ: ""การดำเนินการอย่างรวดเร็วเพื่อบรรลุเป้าหมาย แม้ว่าจะไม่คำนึงถึงผลลัพธ์ในทันที""",c54
55,Queen of Swords,"จักรวาล: เหมือนดาวที่ส่องแสงสว่างและชัดเจนในจักรวาล การใช้แสงที่เปล่งประกายเพื่อช่วยในการมองเห็นความจริงและการทำการตัดสินใจที่สำคัญ
ข้อความ: ""การใช้เหตุผลและการสื่อสารที่มีความชัดเจนในการตัดสินใจและการแก้ไขปัญหาต่าง ๆ""",c55
56,King of Swords ,"จักรวาล: เหมือนดาวที่มีอำนาจในการควบคุมและกำหนดทิศทางในจักรวาล การใช้แสงแห่งปัญญาในการควบคุมโลกและทิศทางของการตัดสินใจ 
ข้อความ: ""การใช้เหตุผลและความยุติธรรมในการตัดสินใจสำคัญ คือแสงแห่งปัญญาที่นำทาง และพลังแห่งการควบคุมสถานการณ์ด้วยความมั่นคงและชัดเจน""",c56
